id,TT_kz,TT_ru,TT_en,SN_kz,SN_ru,SN_en,BT_kz,BT_ru,BT_en,NT_kz,NT_ru,NT_en,RT_kz,RT_ru,RT_en,UF_kz,UF_ru,UF_en,PT_kz,PT_ru,PT_en,LE_kz,LE_ru,LE_en
79,Киберқауіпсіздік,Кибербезопасность,Cybersecurity,Компьютерлік және желілік жүйелерді қорғау процесі,Процесс защиты компьютерных и сетевых систем,Protection of computer and network systems,Ақпараттық қауіпсіздік,Информационная безопасность,Information security,Фишингтен қорғау,Защита от фишинга,Anti-phishing,Кибершабуыл,Кибератака,Cyberattack,Қауіпсіз желі,Безопасная сеть,Secure network,ISO/IEC 27001,ISO/IEC 27001,ISO/IEC 27001,Кибершабуылдарға қарсы шаралар,Countermeasures to cyberattacks,
80,Фишинг,Фишинг,Phishing,Жалған хабарламалар арқылы деректерді ұрлау тәсілі,Способ кражи данных через поддельные сообщения,Method of stealing data via fake messages,Кибершабуыл,Кибератака,Cyberattack,Фарминг,Фарминг,Pharming,Әлеуметтік инженерия,Социальная инженерия,Social engineering,Электрондық алаяқтық,Электронное мошенничество,Email fraud,Фишингтік шабуыл,Phishing attack,Phishing attack,Қауіпсіздік хаттамалары,Security protocols,
81,Радиоэлектрондық күрес,Радиоэлектронная борьба,Electronic warfare,Электрондық сигналдарды қолдану арқылы қарсы әрекет,Противодействие с использованием электронных сигналов,Counteraction using electronic signals,Әскери байланыс,Военная связь,Military communication,РЭБ құралдары,Средства РЭБ,EW systems,Байланыс,Связь,Communication,Жиілік кедергілері,Частотные помехи,Frequency interference,EW,EW,EW,Сигналдарды басу,Signal jamming,
82,Дрон,Дрон,Drone,Қашықтан басқарылатын ұшу құрылғысы,Беспилотное летательное устройство,Remotely controlled flying device,Барлау,Разведка,Reconnaissance,Соққы дроны,Ударный дрон,Combat drone,Ұшқышсыз жүйе,Беспилотная система,Unmanned system,Ұшқышсыз аппарат,БПЛА,UAV,Дрон технологиялары,Drone technologies,Дронды басқару,Drone control,,
83,Соққы дроны,Ударный дрон,Combat drone,Қарулы миссиялар үшін дрон түрі,Тип дрона для боевых миссий,Type of drone for armed missions,Дрон,Дрон,Drone,Барлау дроны,Разведывательный дрон,Reconnaissance drone,Зымыран,Ракета,Missile,БПЛА,БПЛА,UAV,UCAV,UCAV,UCAV,Қарулы дрондар,Armed drones,
84,Барлау дроны,Разведывательный дрон,Reconnaissance drone,Ақпарат жинауға арналған дрон,Дрон для сбора информации,Drone for information gathering,Дрон,Дрон,Drone,Соққы дроны,Ударный дрон,Combat drone,Барлау,Разведка,Reconnaissance,Ұшқышсыз бақылау,Беспилотное наблюдение,Unmanned surveillance,ISR,ISR,ISR,Барлау деректері,Intelligence data,
85,Спутник,Спутник,Satellite,Орбитаға шығарылған жасанды дене,Искусственное тело, выведенное на орбиту,Artificial body placed in orbit,Ғарыш технологиясы,Космическая технология,Space technology,Байланыс спутнигі,Спутник связи,Communication satellite,Ғарыштық барлау,Космическая разведка,Space reconnaissance,Орбиталық құрылғы,Орбитальное устройство,Orbital device,GEO,GEO,GEO,Спутниктік байланыс,Satellite communication
86,Ғарыштық барлау,Космическая разведка,Space reconnaissance,Ғарыштық аппараттар арқылы деректер жинау,Сбор данных через космические аппараты,Data collection via space devices,Барлау,Разведка,Reconnaissance,Ғарыштық мониторинг,Космический мониторинг,Space monitoring,Спутник,Спутник,Satellite,Ғарыш аппараты,Космический аппарат,Spacecraft,Space intel,Space intel,Space intel,Ғарыштық бақылау,Space observation,
87,Теңіз флоты,Военно-морской флот,Navy,Елдің теңіз күштері,Военные силы страны на море,Country’s maritime forces,Қарулы күштер,Вооруженные силы,Armed forces,Әскери кеме,Военный корабль,Warship,Теңіз жаяу әскері,Морская пехота,Marines,Флот,Флот,Fleet,ВМФ,ВМФ,Navy,Теңіз операциялары,Naval operations,
88,Әскери кеме,Военный корабль,Warship,Теңіз шайқастарына арналған кеме,Судно для морских боёв,Ship for naval combat,Теңіз флоты,Военно-морской флот,Navy,Сүңгуір қайық,Подводная лодка,Submarine,Фрегат,Фрегат,Frigate,Кемелер,Корабли,Ships,War vessel,War vessel,War vessel,Теңіздегі соғыс,Naval warfare,
89,Сүңгуір қайық,Подводная лодка,Submarine,Су астында әрекет ететін кеме,Судно, действующее под водой,Underwater operating vessel,Әскери кеме,Военный корабль,Warship,Ядролық сүңгуір қайық,Атомная подлодка,Nuclear submarine,Теңіз флоты,Военно-морской флот,Navy,Қайық,Лодка,Boat,Sub,Sub,Sub,Су асты операциялары,Underwater operations
90,Фрегат,Фрегат,Frigate,Жеңіл әскери кеме түрі,Тип лёгкого военного корабля,Type of light warship,Әскери кеме,Военный корабль,Warship,Эсминец,Эсминец,Destroyer,Сүңгуір қайық,Подлодка,Submarine,Кеме,Корабль,Ship,Frig,Frig,Frig,Флот күштері,Fleet forces,
91,Эсминец,Эсминец,Destroyer,Жылдам және қарулы әскери кеме,Быстроходное вооружённое судно,Fast armed ship,Фрегат,Фрегат,Frigate,Крейсер,Крейсер,Cruiser,Әскери кеме,Военный корабль,Warship,Кеме,Корабль,Ship,Dest,Dest,Dest,Теңіз күзеті,Naval patrol,
92,Крейсер,Крейсер,Cruiser,Орташа немесе ауыр әскери кеме,Среднее или тяжёлое военное судно,Medium or heavy warship,Эсминец,Эсминец,Destroyer,Авианосец,Авианосец,Aircraft carrier,Фрегат,Фрегат,Frigate,Кеме,Корабль,Ship,Cruis,Cruis,Cruis,Флот операциялары,Fleet operations,
93,Авианосец,Авианосец,Aircraft carrier,Ұшақтарды тасымалдауға арналған кеме,Судно для перевозки самолётов,Ship for aircraft transport,Крейсер,Крейсер,Cruiser,Әскери ұшақ,Военный самолёт,Military aircraft,Теңіз флоты,Военно-морской флот,Navy,Теңіздік база,Морская база,Naval base,CV,CV,CV,Авиатасымалдаушы флот,Carrier fleet,
94,Әскери ұшақ,Военный самолёт,Military aircraft,Соғыс операцияларында қолданылатын ұшу аппараты,Летательный аппарат для боевых операций,Aircraft used in combat operations,Әуе күштері,Военно-воздушные силы,Air force,Истребитель,Истребитель,Fighter,Авианосец,Авианосец,Aircraft carrier,Ұшақ,Самолёт,Plane,Jet,Jet,Jet,Әуе операциялары,Air operations,
95,Истребитель,Истребитель,Fighter,Әуе шайқастарына арналған ұшақ,Самолёт для воздушных боёв,Aircraft for air battles,Әскери ұшақ,Военный самолёт,Military aircraft,Бомбалаушы,Бомбардировщик,Bomber,Шабуылдаушы ұшақ,Штурмовик,Attack aircraft,Жойғыш,Истребитель,Interceptor,F-16,F-16,F-16,Әуе соғысы,Air combat,
96,Бомбалаушы,Бомбардировщик,Bomber,Бомбаларды тасымалдауға арналған ұшақ,Самолёт для доставки бомб,Aircraft designed to carry bombs,Әскери ұшақ,Военный самолёт,Military aircraft,Стратегиялық бомбалаушы,Стратегический бомбардировщик,Strategic bomber,Истребитель,Истребитель,Fighter,Бомба,Бомба,Bomb,B-52,B-52,B-52,Әуе соққысы,Air strike,
97,Штурмовик,Штурмовик,Attack aircraft,Жердегі нысаналарды соғуға арналған ұшақ,Самолёт для ударов по наземным целям,Aircraft for ground targets,Әскери ұшақ,Военный самолёт,Military aircraft,Тікұшақ,Вертолёт,Helicopter,Истребитель,Истребитель,Fighter,Ұшақ,Самолёт,Plane,A-10,A-10,A-10,Құрлықтағы соққы,Ground strike,
98,Тікұшақ,Вертолёт,Helicopter,Тік ұшып, қона алатын ұшу аппараты,Летательный аппарат с вертикальным взлётом,Aircraft with vertical takeoff,Әскери ұшақ,Военный самолёт,Military aircraft,Шабуылдаушы тікұшақ,Ударный вертолёт,Attack helicopter,Штурмовик,Штурмовик,Attack aircraft,Ұшу аппараты,Летательный аппарат,Flying machine,Heli,Heli,Heli,Тікұшақ операциялары,Helicopter operations
99,Ұшқышсыз жүйе,Беспилотная система,Unmanned system,Адамсыз басқарылатын жүйе,Система без участия человека,System without human operation,Дрон,Дрон,Drone,Ұшқышсыз аппарат,БПЛА,UAV,Кибершабуыл,Кибератака,Cyberattack,Автономды құрылғы,Автономное устройство,Autonomous device,UAS,UAS,UAS,Ұшқышсыз технологиялар,Unmanned technologies,
100,Жасанды интеллект,Искусственный интеллект,Artificial intelligence,Ақпаратты өңдеу мен шешім қабылдауды автоматтандыру,Автоматизация обработки информации и принятия решений,Automation of data processing and decision-making,Ақпараттық технологиялар,Информационные технологии,Information technology,Автоматтандырылған жүйелер,Автоматизированные системы,Automated systems,Кибершабуыл,Кибератака,Cyberattack,AI жүйесі,Система ИИ,AI system,AI,AI,AI,Интеллектуалды жүйелер,Intelligent systems,
